Source_Image_PATH,Transform_Image_PATH,A11,A12,tx,A21,A22,ty
center_images/46.448-63.996_13.png,transformed_images/down_60 right_-60 roate_18046.448-63.996_13.png,-1.0,1.2246467991473532e-16,300.0,-1.2246467991473532e-16,-1.0,180.00000000000003
center_images/46.694-64.285_13.png,transformed_images/down_-120 right_120 roate_046.694-64.285_13.png,1.0,0.0,120.0,0.0,1.0,-120.0
center_images/46.344-63.404_13.png,transformed_images/down_120 right_0 roate_27046.344-63.404_13.png,-1.8369701987210287e-16,-1.0,120.00000000000004,1.0,-1.8369701987210287e-16,6.378067045751653e-15
center_images/46.113-62.486_13.png,transformed_images/down_0 right_100 roate_9046.113-62.486_13.png,6.123233995736766e-17,1.0,-8.087620719465238e-15,-1.0,6.123233995736766e-17,140.0
center_images/46.258-63.36_13.png,transformed_images/down_0 right_-120 roate_9046.258-63.36_13.png,6.123233995736766e-17,1.0,-2.155873551008612e-14,-1.0,6.123233995736766e-17,360.0
center_images/46.772-64.231_13.png,transformed_images/down_-100 right_0 roate_9046.772-64.231_13.png,6.123233995736766e-17,1.0,-100.0,-1.0,6.123233995736766e-17,240.0
center_images/46.404-63.195_13.png,transformed_images/down_0 right_0 roate_27046.404-63.195_13.png,-1.8369701987210287e-16,-1.0,240.00000000000003,1.0,-1.8369701987210287e-16,2.8421709430404014e-14
center_images/46.186-63.168_13.png,transformed_images/down_100 right_100 roate_18046.186-63.168_13.png,-1.0,1.2246467991473532e-16,140.0,-1.2246467991473532e-16,-1.0,140.0
center_images/46.64-64.37_13.png,transformed_images/down_0 right_40 roate_046.64-64.37_13.png,1.0,0.0,40.0,0.0,1.0,0.0
center_images/46.337-63.703_13.png,transformed_images/down_100 right_0 roate_046.337-63.703_13.png,1.0,0.0,0.0,0.0,1.0,100.0
center_images/46.056-62.607_13.png,transformed_images/down_100 right_0 roate_27046.056-62.607_13.png,-1.8369701987210287e-16,-1.0,140.00000000000003,1.0,-1.8369701987210287e-16,1.005200744319371e-14
